"name","version","date","size"
"dplyr","0.1.1",2014-01-29,530
"dplyr","0.1.2",2014-02-24,533
"dplyr","0.1.3",2014-03-15,535
"dplyr","0.1",2014-01-16,2700
"dplyr","0.2",2014-05-21,577
"dplyr","0.3.0.1",2014-10-08,629
"dplyr","0.3.0.2",2014-10-11,628
"dplyr","0.3",2014-10-04,629
"dplyr","0.4.0",2015-01-08,870
"dplyr","0.4.1",2015-01-14,870
"dplyr","0.4.2",2015-06-16,628
"dplyr","0.4.3",2015-09-01,641
"dplyr","0.5.0",2016-06-24,692
"dplyr","0.7.0",2017-06-09,675
"dplyr","0.7.1",2017-06-22,676
"dplyr","0.7.2",2017-07-21,677
"dplyr","0.7.3",2017-09-09,789
"dplyr","0.7.4",2017-09-28,789
"dplyr","0.7.5",2018-05-19,799
"dplyr","0.7.6",2018-06-29,694
"dplyr","0.7.7",2018-10-16,707
"dplyr","0.7.8",2018-11-10,703
"dplyr","0.8.0.1",2019-02-15,1000
"dplyr","0.8.0",2019-02-14,1100
"dplyr","0.8.1",2019-05-14,1100
"dplyr","0.8.2",2019-06-29,1100
"dplyr","0.8.3",2019-07-04,1100
"dplyr","0.8.4",2020-01-31,1100
"dplyr","0.8.5",2020-03-07,1300
"dplyr","1.0.0",2020-05-29,817
"dplyr","1.0.1",2020-07-31,911
"dplyr","1.0.2",2020-08-18,914
"dplyr","1.0.3",2021-01-15,924
"dplyr","1.0.4",2021-02-02,931
"dplyr","1.0.5",2021-03-05,927
"dplyr","1.0.6",2021-05-05,932
