"name","version","date","size"
"knitr","0.1",2012-01-17,102
"knitr","0.2",2012-01-28,221
"knitr","0.3",2012-02-28,231
"knitr","0.4",2012-04-29,236
"knitr","0.5",2012-04-29,248
"knitr","0.6.3",2012-06-22,292
"knitr","0.6",2012-06-11,286
"knitr","0.7",2012-07-17,325
"knitr","0.8",2012-09-04,425
"knitr","0.9",2013-01-20,431
"knitr","1.0.5",2013-01-21,441
"knitr","1.0",2013-01-14,441
"knitr","1.1",2013-02-16,519
"knitr","1.2",2013-07-16,486
"knitr","1.3",2013-07-15,595
"knitr","1.4.1",2013-08-12,725
"knitr","1.4",2013-08-10,725
"knitr","1.5",2013-09-28,720
"knitr","1.6",2014-05-25,967
"knitr","1.7",2014-10-13,807
"knitr","1.8",2014-11-11,782
"knitr","1.9",2015-01-20,659
"knitr","1.10.5",2015-05-06,672
"knitr","1.10",2015-04-23,672
"knitr","1.11",2015-08-14,673
"knitr","1.12.3",2016-01-22,811
"knitr","1.12",2016-01-07,686
"knitr","1.13",2016-05-09,866
"knitr","1.14",2016-08-13,1000
"knitr","1.15.1",2016-11-22,1000
"knitr","1.15",2016-11-09,1000
"knitr","1.16",2017-05-18,1000
"knitr","1.17",2017-08-10,752
"knitr","1.18",2017-12-27,635
"knitr","1.19",2018-01-29,635
"knitr","1.20",2018-02-20,635
"knitr","1.21",2018-12-11,683
"knitr","1.22",2019-03-09,907
"knitr","1.23",2019-05-18,860
"knitr","1.24",2019-08-08,862
"knitr","1.25",2019-09-18,863
"knitr","1.26",2019-11-12,863
"knitr","1.27",2020-01-16,864
"knitr","1.28",2020-02-06,864
"knitr","1.29",2020-06-23,865
"knitr","1.30",2020-09-22,867
"knitr","1.31",2021-01-27,871
"knitr","1.32",2021-04-14,871
"knitr","1.33",2021-04-24,871
"knitr","1.34",2021-09-09,874
"knitr","1.35",2021-09-28,876
