"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",5,"Nicolas Batum","SG","6-8",230,"December 14, 1988","fr","8",""
"2",21,"Marco Belinelli","SG","6-5",220,"March 25, 1986","it","9",""
"3",12,"Treveon Graham","SG","6-5",219,"October 28, 1993","us","R","VCU"
"4",9,"Aaron Harrison","SG","6-6",210,"October 28, 1994","us","1","Kentucky"
"5",0,"Spencer Hawes","PF","7-1",245,"April 28, 1988","us","9","Washington"
"6",55,"Roy Hibbert","C","7-2",270,"December 11, 1986","us","8","Georgetown"
"7",44,"Frank Kaminsky","C","7-0",240,"April 4, 1993","us","1","Wisconsin"
"8",14,"Michael Kidd-Gilchrist","SF","6-6",232,"September 26, 1993","us","4","Kentucky"
"9",3,"Jeremy Lamb","SG","6-5",180,"May 30, 1992","us","4","UConn"
"10",8,"Johnny O'Bryant","PF","6-9",257,"June 1, 1993","us","2","LSU"
"11",18,"Miles Plumlee","C","6-11",249,"September 1, 1988","us","4","Duke"
"12",22,"Brian Roberts","PG","6-1",173,"December 3, 1985","us","4","Dayton"
"13",7,"Ramon Sessions","PG","6-3",190,"April 11, 1986","us","9","Nevada"
"14",10,"Mike Tobey","C","7-0",260,"October 10, 1994","us","R","Virginia"
"15",15,"Kemba Walker","PG","6-0",184,"May 8, 1990","us","5","UConn"
"16",0,"Briante Weber","PG","6-2",165,"December 29, 1992","us","1","VCU"
"17",2,"Marvin Williams","PF","6-8",237,"June 19, 1986","us","11","UNC"
"18",35,"Christian Wood","PF","6-10",214,"September 27, 1995","us","1","UNLV"
"19",40,"Cody Zeller","C","6-11",240,"October 5, 1992","us","3","Indiana"
