"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",4,"Quincy Acy","PF","6-7",240,"October 6, 1990","us","4","Baylor"
"2",1,"Justin Anderson","SF","6-6",230,"November 19, 1993","us","1","Virginia"
"3",5,"J.J. Barea","PG","5-10",180,"June 26, 1984","pr","10","Northeastern University"
"4",40,"Harrison Barnes","PF","6-8",225,"May 30, 1992","us","4","UNC"
"5",42,"Ben Bentil","PF","6-9",235,"March 29, 1995","gh","R","Providence"
"6",6,"Andrew Bogut","C","7-0",260,"November 28, 1984","au","11","Utah"
"7",9,"Nicolás Brussino","SG","6-7",195,"March 2, 1993","ar","R",""
"8",2,"Quinn Cook","PG","6-1",180,"March 23, 1993","us","R","Duke"
"9",30,"Seth Curry","PG","6-2",185,"August 23, 1990","us","3","Liberty, Duke"
"10",11,"Yogi Ferrell","PG","6-0",178,"May 9, 1993","us","R","Indiana"
"11",10,"Dorian Finney-Smith","PF","6-7",220,"May 4, 1993","us","R","Florida"
"12",3,"Jonathan Gibson","PG","6-2",185,"November 8, 1987","us","R","New Mexico State"
"13",20,"A.J. Hammons","C","7-0",260,"August 27, 1992","us","R","Purdue"
"14",34,"Devin Harris","PG","6-3",185,"February 27, 1983","us","12","Wisconsin"
"15",6,"Manny Harris","SG","6-5",185,"September 21, 1989","us","3","Michigan"
"16",55,"Pierre Jackson","PG","5-10",180,"August 29, 1991","us","R","Baylor"
"17",14,"DeAndre Liggins","SG","6-6",209,"March 31, 1988","us","3","Kentucky"
"18",23,"Wesley Matthews","SG","6-4",220,"October 14, 1986","us","7","Marquette"
"19",50,"Salah Mejri","C","7-2",235,"June 15, 1986","tn","1",""
"20",3,"Nerlens Noel","C","6-11",220,"April 10, 1994","us","2","Kentucky"
"21",41,"Dirk Nowitzki","PF","7-0",245,"June 19, 1978","de","18",""
"22",7,"Dwight Powell","C","6-10",240,"July 20, 1991","ca","2","Stanford"
"23",19,"Jarrod Uthoff","PF","6-9",221,"May 19, 1993","us","R","Iowa"
"24",8,"Deron Williams","PG","6-3",200,"June 26, 1984","us","11","Illinois"
