"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",0,"Darrell Arthur","PF","6-9",235,"March 25, 1988","us","7","Kansas"
"2",5,"Will Barton","SG","6-6",181,"January 6, 1991","us","4","Memphis"
"3",25,"Malik Beasley","SG","6-4",187,"November 26, 1996","us","R","Florida State"
"4",21,"Wilson Chandler","SF","6-8",235,"May 10, 1987","us","8","DePaul"
"5",35,"Kenneth Faried","PF","6-8",220,"November 19, 1989","us","5","Morehead State University"
"6",8,"Danilo Gallinari","SF","6-10",233,"August 8, 1988","it","7",""
"7",7,"Alonzo Gee","SF","6-6",225,"May 29, 1987","us","7","Alabama"
"8",14,"Gary Harris","SG","6-4",210,"September 14, 1994","us","2","Michigan State"
"9",41,"Juan Hernangómez","PF","6-9",214,"September 28, 1995","es","R",""
"10",34,"Roy Hibbert","C","7-2",270,"December 11, 1986","us","8","Georgetown"
"11",15,"Nikola Jokić","C","6-11",284,"February 19, 1995","rs","1",""
"12",3,"Mike Miller","SF","6-8",218,"February 19, 1980","us","16","Florida"
"13",0,"Emmanuel Mudiay","PG","6-3",200,"March 5, 1996","cd","1",""
"14",27,"Jamal Murray","SG","6-3",215,"February 23, 1997","ca","R","Kentucky"
"15",1,"Jameer Nelson","PG","6-0",190,"February 9, 1982","us","12","Saint Joseph's"
"16",23,"Jusuf Nurkić","C","6-11",290,"August 23, 1994","ba","2",""
"17",9,"Johnny O'Bryant","PF","6-9",257,"June 1, 1993","us","2","LSU"
"18",24,"Mason Plumlee","C","6-11",254,"March 5, 1990","us","3","Duke"
"19",12,"Jarnell Stokes","C","6-9",263,"January 7, 1994","us","2","Tennessee"
