"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",3,"Ryan Anderson","PF","6-9",240,"May 6, 1988","us","8","California"
"2",1,"Trevor Ariza","SF","6-8",215,"June 30, 1985","us","12","UCLA"
"3",2,"Patrick Beverley","SG","6-1",180,"July 12, 1988","us","4","Arkansas"
"4",33,"Corey Brewer","SF","6-9",186,"March 5, 1986","us","9","Florida"
"5",8,"Bobby Brown","PG","6-2",175,"September 24, 1984","us","2","Cal State Fullerton"
"6",15,"Clint Capela","C","6-10",240,"May 18, 1994","ch","2",""
"7",7,"Sam Dekker","PF","6-9",230,"May 6, 1994","us","1","Wisconsin"
"8",6,"Tyler Ennis","PG","6-3",194,"August 24, 1994","ca","2","Syracuse"
"9",10,"Eric Gordon","SG","6-3",215,"December 25, 1988","us","8","Indiana"
"10",13,"James Harden","PG","6-5",220,"August 26, 1989","us","7","Arizona State"
"11",5,"Montrezl Harrell","C","6-7",240,"January 26, 1994","us","1","Louisville"
"12",42,"Nenê Hilário","C","6-11",250,"September 13, 1982","br","14",""
"13",32,"K.J. McDaniels","SF","6-6",205,"February 9, 1993","us","2","Clemson"
"14",21,"Chinanu Onuaku","C","6-10",245,"November 1, 1996","us","R","Louisville"
"15",17,"Isaiah Taylor","PG","6-3",170,"July 11, 1994","us","R","Texas"
"16",12,"Lou Williams","SG","6-1",175,"October 27, 1986","us","11",""
"17",14,"Troy Williams","SF","6-7",218,"December 30, 1994","us","R","Indiana"
"18",30,"Kyle Wiltjer","PF","6-10",240,"October 20, 1992","us","R","Kentucky, Gonzaga"
