"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",9,"Tony Allen","SG","6-4",213,"January 11, 1982","us","12","Butler County Community College, Oklahoma State"
"2",4,"Wade Baldwin","PG","6-4",200,"March 29, 1996","us","R","Vanderbilt"
"3",15,"Vince Carter","SF","6-6",220,"January 26, 1977","us","18","UNC"
"4",11,"Mike Conley","PG","6-1",175,"October 11, 1987","us","9","Ohio State"
"5",30,"Troy Daniels","SG","6-4",200,"July 15, 1991","us","3","VCU"
"6",23,"Deyonta Davis","C","6-11",237,"December 2, 1996","us","R","Michigan State"
"7",16,"Toney Douglas","PG","6-2",195,"March 16, 1986","us","7","Auburn, Florida State"
"8",8,"James Ennis","SF","6-6",215,"July 1, 1990","us","2","Cal State Long Beach"
"9",33,"Marc Gasol","C","6-11",255,"January 29, 1985","es","8",""
"10",0,"JaMychal Green","PF","6-8",227,"June 21, 1990","us","2","Alabama"
"11",5,"Andrew Harrison","PG","6-6",213,"October 28, 1994","us","R","Kentucky"
"12",1,"Jarell Martin","PF","6-10",239,"May 24, 1994","us","1","LSU"
"13",25,"Chandler Parsons","SF","6-9",230,"October 25, 1988","us","5","Florida"
"14",50,"Zach Randolph","PF","6-9",250,"July 16, 1981","us","15","Michigan State"
"15",7,"Wayne Selden","SG","6-5",230,"September 30, 1994","us","R","Kansas"
"16",10,"Troy Williams","SF","6-7",218,"December 30, 1994","us","R","Indiana"
"17",34,"Brandan Wright","PF","6-10",210,"October 5, 1987","us","8","UNC"
