"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",7,"Carmelo Anthony","SF","6-7",238,"May 29, 1984","us","13","Syracuse"
"2",31,"Ron Baker","SG","6-4",220,"March 30, 1993","us","R","Wichita State"
"3",14,"Willy Hernangómez","C","6-11",250,"May 27, 1994","es","R",""
"4",8,"Justin Holiday","SG","6-6",180,"April 5, 1989","us","3","Washington"
"5",3,"Brandon Jennings","PG","6-1",170,"September 23, 1989","us","7",""
"6",91,"Mindaugas Kuzminskas","SF","6-9",215,"October 19, 1989","lt","R",""
"7",5,"Courtney Lee","SG","6-5",215,"October 3, 1985","us","8","Western Kentucky"
"8",2,"Maurice Ndour","PF","6-9",200,"June 18, 1992","sn","R","Ohio University"
"9",13,"Joakim Noah","C","6-11",230,"February 25, 1985","us","9","Florida"
"10",9,"Kyle O'Quinn","C","6-9",250,"March 26, 1990","us","4","Norfolk State"
"11",40,"Marshall Plumlee","C","7-0",250,"July 14, 1992","us","R","Duke"
"12",6,"Kristaps Porziņģis","PF","7-3",240,"August 2, 1995","lv","1",""
"13",4,"Chasson Randle","PG","6-2",185,"February 5, 1993","us","R","Stanford"
"14",25,"Derrick Rose","PG","6-2",200,"October 4, 1988","us","7","Memphis"
"15",42,"Lance Thomas","PF","6-8",240,"April 24, 1988","us","5","Duke"
"16",18,"Sasha Vujačić","SG","6-7",195,"March 8, 1984","si","9",""
