"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",23,"Justin Anderson","SF","6-6",230,"November 19, 1993","us","1","Virginia"
"2",0,"Jerryd Bayless","PG","6-3",200,"August 20, 1988","us","8","Arizona"
"3",33,"Robert Covington","SF","6-7",209,"December 14, 1990","us","3","Tennessee State"
"4",21,"Joel Embiid","C","7-0",280,"March 16, 1994","cm","R","Kansas"
"5",39,"Jerami Grant","PF","6-8",210,"March 12, 1994","us","2","Syracuse"
"6",30,"Justin Harper","PF","6-10",225,"August 30, 1989","us","2","Richmond"
"7",12,"Gerald Henderson","SG","6-5",215,"December 9, 1987","us","7","Duke"
"8",22,"Richaun Holmes","C","6-10",235,"October 15, 1993","us","1","Bowling Green"
"9",7,"Ersan İlyasova","PF","6-9",235,"May 15, 1987","tr","8",""
"10",36,"Shawn Long","C","6-9",255,"January 29, 1993","us","R","Louisiana"
"11",20,"Timothé Luwawu-Cabarrot","SF","6-7",220,"May 9, 1995","fr","R",""
"12",1,"T.J. McConnell","PG","6-1",190,"March 25, 1992","us","1","Duquesne, Arizona"
"13",4,"Nerlens Noel","C","6-11",220,"April 10, 1994","us","2","Kentucky"
"14",8,"Jahlil Okafor","C","6-10",270,"December 15, 1995","us","1","Duke"
"15",5,"Alex Poythress","PF","6-9",235,"September 6, 1993","us","R","Kentucky"
"16",5,"Chasson Randle","PG","6-2",185,"February 5, 1993","us","R","Stanford"
"17",14,"Sergio Rodríguez","PG","6-3",176,"June 12, 1986","es","4",""
"18",9,"Dario Šarić","PF","6-10",225,"April 8, 1994","hr","R",""
"19",47,"Tiago Splitter","C","6-11",245,"January 1, 1985","br","6",""
"20",11,"Nik Stauskas","SG","6-6",205,"October 7, 1993","ca","2","Michigan"
"21",31,"Hollis Thompson","SG","6-8",206,"April 3, 1991","us","3","Georgetown"
