"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",19,"Leandro Barbosa","SG","6-3",194,"November 28, 1982","br","13",""
"2",35,"Dragan Bender","PF","7-0",225,"November 17, 1997","ba","R",""
"3",2,"Eric Bledsoe","PG","6-1",214,"December 9, 1989","us","6","Kentucky"
"4",1,"Devin Booker","SG","6-5",206,"October 30, 1996","us","1","Kentucky"
"5",4,"Tyson Chandler","C","7-0",235,"October 2, 1982","us","15",""
"6",0,"Marquese Chriss","PF","6-9",240,"July 2, 1997","us","R","Washington"
"7",3,"Jared Dudley","PF","6-6",237,"July 10, 1985","us","9","Boston College"
"8",31,"Jarell Eddie","SF","6-7",218,"October 30, 1991","us","1","Virginia Tech"
"9",23,"John Jenkins","SG","6-4",215,"March 6, 1991","us","4","Vanderbilt"
"10",10,"Derrick Jones","SF","6-5",210,"February 15, 1997","us","R","UNLV"
"11",11,"Brandon Knight","SG","6-2",182,"December 2, 1991","us","5","Kentucky"
"12",21,"Alex Len","C","7-0",250,"June 16, 1993","ua","3","Maryland"
"13",22,"Elijah Millsap","SG","6-6",225,"August 12, 1987","us","2","Louisiana, UAB"
"14",14,"Ronnie Price","PG","6-2",190,"June 21, 1983","us","11","Nicholls State, Utah Valley"
"15",17,"P.J. Tucker","SF","6-5",245,"May 5, 1985","us","5","Texas"
"16",8,"Tyler Ulis","PG","5-10",160,"January 5, 1996","us","R","Kentucky"
"17",12,"T.J. Warren","SF","6-8",220,"September 5, 1993","us","2","NC State"
"18",15,"Alan Williams","C","6-8",265,"January 28, 1993","us","1","UC Santa Barbara"
