"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",8,"Al-Farouq Aminu","PF","6-8",220,"September 21, 1990","us","6","Wake Forest"
"2",5,"Pat Connaughton","SG","6-5",209,"January 6, 1993","us","1","Notre Dame"
"3",23,"Allen Crabbe","SG","6-5",212,"April 9, 1992","us","3","California"
"4",17,"Ed Davis","PF","6-9",218,"June 5, 1989","us","6","UNC"
"5",4,"Maurice Harkless","SF","6-7",220,"May 11, 1993","us","4","St. John's"
"6",10,"Jake Layman","SF","6-8",209,"March 7, 1994","us","R","Maryland"
"7",11,"Meyers Leonard","PF","7-0",260,"February 27, 1992","us","4","Illinois"
"8",0,"Damian Lillard","PG","6-2",195,"July 15, 1990","us","4","Weber State"
"9",3,"CJ McCollum","SG","6-3",190,"September 19, 1991","us","3","Lehigh"
"10",6,"Shabazz Napier","PG","6-0",175,"July 14, 1991","us","2","UConn"
"11",27,"Jusuf Nurkić","C","6-11",290,"August 23, 1994","ba","2",""
"12",24,"Mason Plumlee","C","6-11",254,"March 5, 1990","us","3","Duke"
"13",55,"Tim Quarterman","SG","6-6",195,"October 27, 1994","us","R","LSU"
"14",1,"Evan Turner","SF","6-6",220,"October 27, 1988","us","6","Ohio State"
"15",21,"Noah Vonleh","PF","6-10",257,"August 24, 1995","us","2","Indiana"
