"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",40,"Arron Afflalo","SG","6-5",210,"October 15, 1985","us","9","UCLA"
"2",22,"Matt Barnes","SF","6-7",226,"March 9, 1980","us","13","UCLA"
"3",18,"Omri Casspi","PF","6-9",225,"June 22, 1988","il","7",""
"4",0,"Willie Cauley-Stein","C","7-0",240,"August 18, 1993","us","1","Kentucky"
"5",7,"Darren Collison","PG","6-0",175,"August 23, 1987","us","7","UCLA"
"6",15,"DeMarcus Cousins","C","6-10",270,"August 13, 1990","us","6","Kentucky"
"7",32,"Tyreke Evans","SF","6-6",220,"September 19, 1989","us","7","Memphis"
"8",20,"Jordan Farmar","PG","6-2",180,"November 30, 1986","us","9","UCLA"
"9",9,"Langston Galloway","PG","6-1",200,"December 9, 1991","us","2","Saint Joseph's"
"10",8,"Rudy Gay","SF","6-8",250,"August 17, 1986","us","10","UConn"
"11",24,"Buddy Hield","SG","6-4",220,"December 17, 1992","bs","R","Oklahoma"
"12",41,"Kosta Koufos","C","7-0",245,"February 24, 1989","us","8","Ohio State"
"13",3,"Skal Labissière","PF","6-10",235,"March 18, 1996","ht","R","Kentucky"
"14",10,"Ty Lawson","PG","5-11",195,"November 3, 1987","us","7","UNC"
"15",23,"Ben McLemore","SG","6-3",195,"February 11, 1993","us","3","Kansas"
"16",13,"Georgios Papagiannis","C","7-1",240,"July 3, 1997","gr","R",""
"17",5,"Malachi Richardson","SG","6-6",205,"January 5, 1996","us","R","Syracuse"
"18",17,"Garrett Temple","SG","6-5",195,"May 8, 1986","us","6","LSU"
"19",43,"Anthony Tolliver","PF","6-8",240,"June 1, 1985","us","8","Creighton"
