"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",20,"Bruno Caboclo","SF","6-9",218,"September 21, 1995","br","2",""
"2",5,"DeMarre Carroll","SF","6-6",215,"July 27, 1986","us","7","Vanderbilt, Missouri"
"3",10,"DeMar DeRozan","SG","6-6",220,"August 7, 1989","us","7","USC"
"4",9,"Serge Ibaka","PF","6-10",235,"September 18, 1989","cg","7",""
"5",6,"Cory Joseph","PG","6-3",200,"August 20, 1991","ca","5","Texas"
"6",7,"Kyle Lowry","PG","6-0",196,"March 25, 1986","us","10","Villanova"
"7",92,"Lucas Nogueira","C","7-0",241,"July 26, 1992","br","2",""
"8",54,"Patrick Patterson","PF","6-8",235,"March 14, 1989","us","6","Kentucky"
"9",42,"Jakob Poeltl","C","7-1",245,"October 15, 1995","at","R","Utah"
"10",24,"Norman Powell","SG","6-3",215,"May 25, 1993","us","1","UCLA"
"11",31,"Terrence Ross","SF","6-6",206,"February 5, 1991","us","4","Washington"
"12",43,"Pascal Siakam","PF","6-9",230,"April 2, 1994","cm","R","New Mexico State"
"13",0,"Jared Sullinger","PF","6-9",260,"March 4, 1992","us","4","Ohio State"
"14",2,"P.J. Tucker","SF","6-5",245,"May 5, 1985","us","5","Texas"
"15",17,"Jonas Valančiūnas","C","6-11",265,"May 6, 1992","lt","4",""
"16",23,"Fred VanVleet","PG","6-1",197,"February 25, 1994","us","R","Wichita State"
"17",55,"Delon Wright","PG","6-5",185,"April 26, 1992","us","1","Utah"
